Date,Revenue,Cost_of_Goods_Sold,Operating_Expenses,Net_Profit,Current_Assets,Current_Liabilities,Total_Assets,Total_Liabilities,Cash,Accounts_Receivable,Inventory,Accounts_Payable,Long_Term_Debt,Equity,Operating_Cash_Flow,Investing_Cash_Flow,Financing_Cash_Flow
2024-01-31,850000,510000,220000,120000,450000,280000,1200000,650000,180000,150000,120000,140000,350000,550000,95000,-25000,-15000
2024-02-29,920000,552000,235000,133000,480000,290000,1250000,670000,195000,165000,120000,145000,345000,580000,105000,-20000,-18000
2024-03-31,1050000,630000,265000,155000,520000,310000,1320000,690000,220000,180000,120000,155000,340000,630000,125000,-30000,-20000
2024-04-30,980000,588000,250000,142000,510000,305000,1300000,685000,210000,175000,125000,150000,340000,615000,115000,-22000,-19000
2024-05-31,1100000,660000,280000,160000,550000,320000,1380000,710000,240000,190000,120000,160000,335000,670000,135000,-28000,-22000
2024-06-30,1180000,708000,295000,177000,580000,330000,1450000,730000,265000,195000,120000,165000,330000,720000,150000,-32000,-25000
2024-07-31,1250000,750000,310000,190000,620000,345000,1520000,750000,290000,205000,125000,170000,325000,770000,165000,-35000,-28000
2024-08-31,1320000,792000,325000,203000,650000,355000,1590000,770000,310000,215000,125000,175000,320000,820000,175000,-38000,-30000
2024-09-30,1280000,768000,315000,197000,640000,350000,1570000,765000,300000,210000,130000,172000,320000,805000,170000,-36000,-29000
2024-10-31,1350000,810000,330000,210000,670000,360000,1640000,785000,325000,220000,125000,178000,315000,855000,182000,-40000,-32000
2024-11-30,1420000,852000,345000,223000,700000,370000,1710000,805000,350000,225000,125000,183000,310000,905000,195000,-42000,-35000
2024-12-31,1500000,900000,360000,240000,750000,385000,1800000,830000,385000,240000,125000,190000,305000,970000,215000,-45000,-38000
